C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A034,R170,'03-00-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,4804458,3394018
A034,R170,'03-00-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,4804535,3394074
A034,R170,'03-03-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,175670,553790
A034,R170,'03-03-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,175670,553800
A034,R170,'03-03-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,175670,553923
A034,R170,'03-03-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,175670,554029
A034,R170,'03-03-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,175670,554153
A034,R170,'03-03-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,175670,554208
A034,R170,'03-03-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,6736083,4060539
A034,R170,'03-03-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,6736086,4060544
A034,R170,'03-03-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,6736100,4060583
A034,R170,'03-03-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,6736145,4060602
A034,R170,'03-03-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,6736253,4060645
A034,R170,'03-03-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,6736340,4060671
A034,R170,'03-03-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,13465070,1482997
A034,R170,'03-03-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,13465071,1483000
A034,R170,'03-03-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,13465107,1483015
A034,R170,'03-03-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,13465182,1483021
A034,R170,'03-03-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,13465365,1483039
A034,R170,'03-03-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,13465501,1483047
A034,R170,'03-05-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,263771,183851
A034,R170,'03-05-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,263771,183853
A034,R170,'03-05-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,263788,183875
A034,R170,'03-05-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,263809,183886
A034,R170,'03-05-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,263862,183903
A034,R170,'03-05-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,263894,183910
A034,R170,'03-05-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,235940,291140
A034,R170,'03-05-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,235940,291143
A034,R170,'03-05-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,235948,291180
A034,R170,'03-05-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,235955,291206
A034,R170,'03-05-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,235999,291235
A034,R170,'03-05-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,236033,291255
A034,R170,'03-05-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,272259,379187
A034,R170,'03-05-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,272259,379191
A034,R170,'03-05-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,272272,379269
A034,R170,'03-05-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,272283,379343
A034,R170,'03-05-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,272340,379385
A034,R170,'03-05-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,272369,379409
A034,R170,'03-05-03,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,323022,249008
