the_geom,lat,long,station_name,borough,train_lines,service,unit,c-a,ct_median_income_2018_ACS,ct_shape_leng,ct_shape_area
0101000020E61000008A22A46E677F52C034F6251B0F5E4440,40.734836,-73.990688,14 ST-UNION SQ,Manhattan,LNQR456,IRT,R221,R170,"$20,833",5790.388176,1815428.909
0101000020E610000074620FED637F52C0E7C8CA2F83594440,40.699316,-73.990474,HIGH ST,Brooklyn,AC,IND,N100,R252,"$108,250",7513.460228,3139245.362
0101000020E610000074620FED637F52C0E7C8CA2F83594440,40.699316,-73.990474,HIGH ST,Brooklyn,AC,IND,N101,R252,"$108,250",7513.460228,3139245.362
0101000020E610000074965984627F52C012DBDD03744F4440,40.620728,-73.990388,18 AVE,Brooklyn,N,BMT,D008,R392,"$58,553",6417.483306,1895137.519
0101000020E61000006A847EA65E7F52C0BBF1EEC8585B4440,40.713647,-73.990152,EAST BROADWAY,Manhattan,F,IND,N529,R257,"$18,650",6970.634699,2583417.676
0101000020E61000006A847EA65E7F52C0BBF1EEC8585B4440,40.713647,-73.990152,EAST BROADWAY,Manhattan,F,IND,N528,R257,"$18,650",6970.634699,2583417.676
0101000020E610000082C64CA25E7F52C04FCFBBB1A0584440,40.692404,-73.990151,BOROUGH HALL/CT,Brooklyn,2345R,BMT,C001,R108,"$164,600",5883.375467,1737777.424
0101000020E610000082C64CA25E7F52C04FCFBBB1A0584440,40.692404,-73.990151,BOROUGH HALL/CT,Brooklyn,2345R,IRT,R602,R108,"$164,600",5883.375467,1737777.424
0101000020E610000082C64CA25E7F52C04FCFBBB1A0584440,40.692404,-73.990151,BOROUGH HALL/CT,Brooklyn,R2345,IRT,R601A,R108,"$164,600",5883.375467,1737777.424
0101000020E610000082C64CA25E7F52C04FCFBBB1A0584440,40.692404,-73.990151,BOROUGH HALL/CT,Brooklyn,2345R,IRT,R604,R108,"$164,600",5883.375467,1737777.424
0101000020E6100000618C48145A7F52C0DE3EABCC945C4440,40.723291,-73.989873,2 AVE,Manhattan,F,IND,N523,R300,"$48,832",4185.592164,1068027.178
0101000020E6100000618C48145A7F52C0DE3EABCC945C4440,40.723291,-73.989873,2 AVE,Manhattan,F,IND,N521,R300,"$48,832",4185.592164,1068027.178
0101000020E610000062C092AB587F52C0D314014EEF604440,40.757303,-73.989787,42 ST-PA BUS TE,Manhattan,ACENQRS1237,IND,N062A,R010,"$96,136",5730.058898,1919460.663
0101000020E610000062C092AB587F52C0D314014EEF604440,40.757303,-73.989787,42 ST-PA BUS TE,Manhattan,ACENQRS1237,IND,N060,R010,"$96,136",5730.058898,1919460.663
0101000020E610000062C092AB587F52C0D314014EEF604440,40.757303,-73.989787,42 ST-PA BUS TE,Manhattan,ACENQRS1237,IND,N063A,R011,"$96,136",5730.058898,1919460.663
0101000020E610000062C092AB587F52C0D314014EEF604440,40.757303,-73.989787,42 ST-PA BUS TE,Manhattan,ACENQRS1237,IND,N062,R011,"$96,136",5730.058898,1919460.663
0101000020E610000062C092AB587F52C0D314014EEF604440,40.757303,-73.989787,42 ST-PA BUS TE,Manhattan,ACENQRS1237,IND,N063,R011,"$96,136",5730.058898,1919460.663
0101000020E61000004E9CDCEF507F52C0E411DC48D95E4440,40.741006,-73.989315,23 ST-5 AVE,Manhattan,NR,BMT,A031,R083,"$22,750",5723.840786,1878253.785
