station_name,train_lines,income,long,lat,entry_dif,exit_dif
EAST 105 ST,L,49830,-73.899558,40.650625,2215,1777
EAST BROADWAY,F,18650,-73.990152,40.713647,24116,11174
ELMHURST AVE,MR,50417,-73.882005,40.742445,7218,1282
EUCLID AVE,AC,35338,-73.87207,40.675382,7763,1990
FAR ROCKAWAY,A,60294,-73.755383,40.603983,3297,3288
FLUSHING AVE,G,31724,-73.950284,40.700374,3878,3694
FLUSHING AVE,JM,93235,-73.941658,40.700244,6588,2984
FOREST AVE,M,74052,-73.903077,40.704424,3901,2167
FRANKLIN AVE,ACS,81813,-73.956056,40.681159,10614,8040
FT HAMILTON PKY,D,29264,-73.994229,40.640872,3248,1711
FT HAMILTON PKY,FG,0,-73.975818,40.650722,11570,3104
FT HAMILTON PKY,N,60833,-74.005387,40.631428,11216,5196
FULTON ST,2345ACJZ,159911,-74.007983,40.709938,-8825268,-3610992
FULTON ST,ACJZ2345,159911,-74.007983,40.709938,121100,78710
FULTON ST,G,18511,-73.975346,40.68713,5730,4315
GATES AVE,JZ,30300,-73.922281,40.689652,6018,1958
GRAHAM AVE,L,89825,-73.944104,40.71459,17724,9858
GRAND ST,BD,0,-73.994164,40.718542,20909,12266
GRAND ST,L,96078,-73.94067,40.711874,12074,10568
GRANT AVE,A,37173,-73.865376,40.677107,4666,3524
GREENPOINT AVE,G,81101,-73.954425,40.731324,18708,13830
HALSEY ST,J,29120,-73.916337,40.68617,5196,1643
HALSEY ST,L,140845,-73.904021,40.695607,13498,7950
HEWES ST,JM,55170,-73.953481,40.706994,2815,1916
HIGH ST,AC,108250,-73.990474,40.699316,19170,15208
INWOOD-207 ST,A,34703,-73.919921,40.868045,16056,5830
JAMAICA CENTER,EJZ,62529,-73.80111,40.702131,54184,48522
JAY ST-METROTEC,ACF,136417,-73.987342,40.692338,73042,50866
JAY ST-METROTEC,R,136417,-73.985935,40.692182,8502,6072
JEFFERSON ST,L,44688,-73.922925,40.706636,6547,1563
KINGSBRIDGE RD,BD,29315,-73.893485,40.866974,13462,8512
KINGSTON-THROOP,C,37625,-73.940858,40.679921,12358,10382
KNICKERBOCKER,M,32960,-73.919685,40.698666,3938,3286
KOSCIUSZKO ST,J,48701,-73.928826,40.693329,4785,1125
LAFAYETTE AVE,C,95500,-73.973908,40.68617,1349,1322
LIBERTY AVE,C,31222,-73.896554,40.674552,2300,856
LIVONIA AVE,L,58487,-73.900444,40.663801,2122,1384
LORIMER ST,JM,37093,-73.947387,40.703855,4107,2590
MARCY AVE,JMZ,55170,-73.957751,40.708377,23180,16528
METS-WILLETS PT,7,21128,-73.845625,40.754622,0,390
